type,procs,run,num_ranks,run_time_s,total_time_s,init_time_s,started_at,finished_at,complete,path
strong,1,1,1,1704.838308872,1706.333722134,0.273213145,2026-06-13 15:28:26.408810441,2026-06-13 15:56:52.742532575,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_1_procs_run1/output_run1.log
strong,1,2,1,1700.735078992,1702.227395854,0.269317305,2026-06-13 18:47:26.171871021,2026-06-13 19:15:48.399266875,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_1_procs_run2/output_run2.log
strong,1,3,1,1705.103625611,1706.982435345,0.655766065,2026-06-13 22:06:47.688548296,2026-06-13 22:35:14.670983641,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_1_procs_run3/output_run3.log
strong,1,4,1,1704.891530707,1707.147832291,1.029486145,2026-06-14 01:25:32.072448843,2026-06-14 01:53:59.220281134,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_1_procs_run4/output_run4.log
strong,1,5,1,1704.43975917,1706.067789212,0.388253388,2026-06-14 04:45:17.131522831,2026-06-14 05:13:43.199312043,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_1_procs_run5/output_run5.log
strong,1,6,1,1703.582264493,1705.174745715,0.355761934,2026-06-14 08:04:36.720620786,2026-06-14 08:33:01.895366501,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_1_procs_run6/output_run6.log
strong,1,7,1,1700.785138449,1702.708727399,0.650378613,2026-06-14 11:24:10.862986812,2026-06-14 11:52:33.571714211,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_1_procs_run7/output_run7.log
strong,2,1,2,1633.781343205,1635.245863517,0.223927557,2026-06-13 15:01:08.880186260,2026-06-13 15:28:24.126049777,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_2_procs_run1/output_run1.log
strong,2,2,2,1635.473235082,1636.91471236,0.228546684,2026-06-13 18:20:08.107727382,2026-06-13 18:47:25.022439742,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_2_procs_run2/output_run2.log
strong,2,3,2,1635.310524773,1636.871611086,0.318988868,2026-06-13 21:39:28.922450981,2026-06-13 22:06:45.794062067,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_2_procs_run3/output_run3.log
strong,2,4,2,1636.89034739,1638.474229008,0.33597074,2026-06-14 00:58:11.045278040,2026-06-14 01:25:29.519507048,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_2_procs_run4/output_run4.log
strong,2,5,2,1639.861224077,1642.267278712,1.168361725,2026-06-14 04:17:53.391227162,2026-06-14 04:45:15.658505874,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_2_procs_run5/output_run5.log
strong,2,6,2,1637.790639307,1639.978969443,0.924159331,2026-06-14 07:37:14.610596207,2026-06-14 08:04:34.589565650,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_2_procs_run6/output_run6.log
strong,2,7,2,1637.861209997,1640.339529645,1.252404853,2026-06-14 10:56:48.397828478,2026-06-14 11:24:08.737358123,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_2_procs_run7/output_run7.log
strong,4,1,4,1615.23241513,1616.725736855,0.214746829,2026-06-13 14:34:10.682369395,2026-06-13 15:01:07.408106250,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_4_procs_run1/output_run1.log
strong,4,2,4,1614.588778031,1616.089887988,0.214786398,2026-06-13 17:53:10.232342202,2026-06-13 18:20:06.322230190,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_4_procs_run2/output_run2.log
strong,4,3,4,1623.650943454,1625.141722203,0.20777261,2026-06-13 21:12:22.505290439,2026-06-13 21:39:27.647012642,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_4_procs_run3/output_run3.log
strong,4,4,4,1619.807312802,1621.360500908,0.26949639,2026-06-14 00:31:06.479922071,2026-06-14 00:58:07.840422979,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_4_procs_run4/output_run4.log
strong,4,5,4,1613.13438821,1614.793354296,0.372065179,2026-06-14 03:50:56.569128220,2026-06-14 04:17:51.362482516,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_4_procs_run5/output_run5.log
strong,4,6,4,1618.049560995,1619.598381374,0.289102301,2026-06-14 07:10:11.490844063,2026-06-14 07:37:11.089225437,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_4_procs_run6/output_run6.log
strong,4,7,4,1614.248937305,1616.454951544,0.880468969,2026-06-14 10:29:48.987607256,2026-06-14 10:56:45.442558800,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_4_procs_run7/output_run7.log
strong,8,1,8,1614.221442198,1615.809394413,0.227753129,2026-06-13 14:07:13.197622121,2026-06-13 14:34:09.007016534,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_8_procs_run1/output_run1.log
strong,8,2,8,1616.500390303,1618.060946911,0.208744216,2026-06-13 17:26:10.379382061,2026-06-13 17:53:08.440328972,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_8_procs_run2/output_run2.log
strong,8,3,8,1615.519681898,1617.960714219,1.106476069,2026-06-13 20:45:23.083323931,2026-06-13 21:12:21.044038150,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_8_procs_run3/output_run3.log
strong,8,4,8,1621.249952481,1623.026494266,0.439028376,2026-06-14 00:04:01.320301095,2026-06-14 00:31:04.346795361,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_8_procs_run4/output_run4.log
strong,8,5,8,1612.019650354,1614.669816187,0.979294748,2026-06-14 03:23:59.981377335,2026-06-14 03:50:54.651193522,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_8_procs_run5/output_run5.log
strong,8,6,8,1616.538559223,1620.412249901,2.503214224,2026-06-14 06:43:09.114577587,2026-06-14 07:10:09.526827488,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_8_procs_run6/output_run6.log
strong,8,7,8,1611.196896745,1614.83106772,1.947404802,2026-06-14 10:02:50.038200034,2026-06-14 10:29:44.869267754,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_8_procs_run7/output_run7.log
strong,16,1,16,1654.962053746,1656.726669234,0.255502654,2026-06-13 13:39:34.723918063,2026-06-13 14:07:11.450587297,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_16_procs_run1/output_run1.log
