type,procs,run,num_ranks,run_time_s,total_time_s,init_time_s,started_at,finished_at,complete,path
weak,1,1,1,1704.316944709,1705.925288997,0.301539099,2026-06-18 04:57:03.598466840,2026-06-18 05:25:29.523755837,True,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_1_procs_run1/output_run1.log
weak,1,2,1,1701.164705806,1702.663602858,0.275610981,2026-06-18 13:43:02.310423020,2026-06-18 14:11:24.974025878,True,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_1_procs_run2/output_run2.log
weak,1,3,1,1705.20922501,1706.699358531,0.274843673,2026-06-18 22:29:27.501789702,2026-06-18 22:57:54.201148233,True,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_1_procs_run3/output_run3.log
weak,1,4,1,1707.343354104,1708.849843651,0.267221168,2026-06-19 07:18:35.743745397,2026-06-19 07:47:04.593589048,True,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_1_procs_run4/output_run4.log
weak,1,5,1,1701.096346368,1702.714075898,0.395332987,2026-06-19 16:05:22.220063652,2026-06-19 16:33:44.934139550,True,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_1_procs_run5/output_run5.log
weak,1,6,1,1700.236832484,1702.47353377,1.010117948,2026-06-20 00:51:12.348043158,2026-06-20 01:19:34.821576928,True,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_1_procs_run6/output_run6.log
weak,2,1,2,3887.132902203,3888.786969348,0.410354275,2026-06-18 05:25:30.548945116,2026-06-18 06:30:19.335914464,True,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_2_procs_run1/output_run1.log
weak,2,2,2,3897.63692494,3899.182032965,0.301021146,2026-06-18 14:11:25.850731909,2026-06-18 15:16:25.032764874,True,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_2_procs_run2/output_run2.log
weak,2,3,2,3880.826283378,3882.350689461,0.284723547,2026-06-18 22:57:55.158488489,2026-06-19 00:02:37.509177950,True,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_2_procs_run3/output_run3.log
weak,2,4,2,3896.474427658,3898.096500559,0.350122254,2026-06-19 07:47:05.836116364,2026-06-19 08:52:03.932616923,True,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_2_procs_run4/output_run4.log
